,n,a,e,completeness,spread
271,2.0,1.0999999999999999,0.4,0.43,0.2
272,3.0,1.0999999999999999,0.4,0.436,0.2
273,4.0,1.0999999999999999,0.4,0.462,0.2
274,5.0,1.0999999999999999,0.4,0.464,0.2
275,1.0,1.0999999999999999,0.5,0.375,0.2
276,2.0,1.0999999999999999,0.5,0.405,0.2
277,3.0,1.0999999999999999,0.5,0.413,0.2
278,4.0,1.0999999999999999,0.5,0.43,0.2
279,5.0,1.0999999999999999,0.5,0.442,0.2
280,1.0,1.0999999999999999,0.6000000000000001,0.325,0.2
281,2.0,1.0999999999999999,0.6000000000000001,0.375,0.2
282,3.0,1.0999999999999999,0.6000000000000001,0.38,0.2
283,4.0,1.0999999999999999,0.6000000000000001,0.394,0.2
284,5.0,1.0999999999999999,0.6000000000000001,0.404,0.2
285,1.0,1.0999999999999999,0.7000000000000001,0.285,0.2
286,2.0,1.0999999999999999,0.7000000000000001,0.339,0.2
287,3.0,1.0999999999999999,0.7000000000000001,0.351,0.2
288,4.0,1.0999999999999999,0.7000000000000001,0.356,0.2
289,5.0,1.0999999999999999,0.7000000000000001,0.368,0.2
290,1.0,1.0999999999999999,0.8,0.221,0.2
291,2.0,1.0999999999999999,0.8,0.272,0.2
292,3.0,1.0999999999999999,0.8,0.296,0.2
293,4.0,1.0999999999999999,0.8,0.315,0.2
294,5.0,1.0999999999999999,0.8,0.33,0.2
295,1.0,1.0999999999999999,0.9,0.114,0.2
296,2.0,1.0999999999999999,0.9,0.164,0.2
297,3.0,1.0999999999999999,0.9,0.212,0.2
298,4.0,1.0999999999999999,0.9,0.232,0.2
299,5.0,1.0999999999999999,0.9,0.272,0.2
