,n,a,e,completeness,spread
299,10.0,0.7999999999999999,0.0,0.705,0.5
300,1.0,0.8999999999999999,0.0,0.501,0.05
301,2.0,0.8999999999999999,0.0,0.594,0.05
302,3.0,0.8999999999999999,0.0,0.635,0.05
303,4.0,0.8999999999999999,0.0,0.655,0.05
304,5.0,0.8999999999999999,0.0,0.683,0.05
305,6.0,0.8999999999999999,0.0,0.697,0.05
306,7.0,0.8999999999999999,0.0,0.699,0.05
307,8.0,0.8999999999999999,0.0,0.706,0.05
308,9.0,0.8999999999999999,0.0,0.709,0.05
309,10.0,0.8999999999999999,0.0,0.713,0.05
310,1.0,0.8999999999999999,0.0,0.503,0.1
311,2.0,0.8999999999999999,0.0,0.598,0.1
312,3.0,0.8999999999999999,0.0,0.635,0.1
313,4.0,0.8999999999999999,0.0,0.656,0.1
314,5.0,0.8999999999999999,0.0,0.689,0.1
315,6.0,0.8999999999999999,0.0,0.689,0.1
316,7.0,0.8999999999999999,0.0,0.7,0.1
317,8.0,0.8999999999999999,0.0,0.709,0.1
318,9.0,0.8999999999999999,0.0,0.706,0.1
319,10.0,0.8999999999999999,0.0,0.711,0.1
320,1.0,0.8999999999999999,0.0,0.501,0.15000000000000002
321,2.0,0.8999999999999999,0.0,0.592,0.15000000000000002
322,3.0,0.8999999999999999,0.0,0.645,0.15000000000000002
323,4.0,0.8999999999999999,0.0,0.664,0.15000000000000002
324,5.0,0.8999999999999999,0.0,0.69,0.15000000000000002
325,6.0,0.8999999999999999,0.0,0.697,0.15000000000000002
326,7.0,0.8999999999999999,0.0,0.701,0.15000000000000002
327,8.0,0.8999999999999999,0.0,0.708,0.15000000000000002
328,9.0,0.8999999999999999,0.0,0.706,0.15000000000000002
329,10.0,0.8999999999999999,0.0,0.715,0.15000000000000002
330,1.0,0.8999999999999999,0.0,0.507,0.2
331,2.0,0.8999999999999999,0.0,0.598,0.2
332,3.0,0.8999999999999999,0.0,0.647,0.2
333,4.0,0.8999999999999999,0.0,0.661,0.2
334,5.0,0.8999999999999999,0.0,0.683,0.2
335,6.0,0.8999999999999999,0.0,0.693,0.2
336,7.0,0.8999999999999999,0.0,0.698,0.2
337,8.0,0.8999999999999999,0.0,0.707,0.2
338,9.0,0.8999999999999999,0.0,0.709,0.2
339,10.0,0.8999999999999999,0.0,0.714,0.2
340,1.0,0.8999999999999999,0.0,0.502,0.25
341,2.0,0.8999999999999999,0.0,0.598,0.25
342,3.0,0.8999999999999999,0.0,0.643,0.25
343,4.0,0.8999999999999999,0.0,0.662,0.25
